TRACK_NAME,ARTIST_NAME,ambient_chill,classical_orchestral,electronic_edm,folk_country,funk_soul_rnb,hiphop_rap,jazz_fusion,metal,pop,rock_punk
Renegade Day,Solxis,False,False,True,False,False,False,False,False,False,False
ANOTHER WORLD,LukHash,False,False,False,False,False,False,False,False,True,False
God Save The DJ,WE ARE FM,False,False,True,False,False,False,False,False,False,False
Ballad of Contrasts,Udo Vismann,True,False,False,False,False,False,False,False,False,False
Deep Pools,Podington Bear,True,False,False,False,False,False,False,False,False,False
Crossing the Universe,Esther Garcia,False,True,False,False,False,False,False,False,False,False
"Chopin Piano Scherzo No. 3 in C-sharp minor, Op. 39 (7:56)",Kranto studijos,False,True,False,False,False,False,False,False,False,False
acuna,Hombre Lobo,False,False,False,True,False,False,False,False,False,False
Nyash Drop,Young Paperboyz,False,False,False,False,False,True,False,False,False,False
Party All Night feat G. Staxs,Demo Delgado,False,False,False,False,False,True,False,False,False,False
Through the storm,MomAndDead,False,False,False,False,False,False,False,True,False,False
Under Control,the Transisters,False,False,False,False,False,False,False,True,False,False
Our World,Modern Pitch,False,False,False,False,False,False,False,False,False,True
